Step,Seconds,UAV_ID,UAV_X,UAV_Y,UAV_Z,Yaw,VehicleID,X,Y,Speed
105,52.5,1,1488.73,846.56,42.857142857142854,0,,,,
105,52.5,2,1524.62,718.15,42.857142857142854,0,,,,
106,53.0,0,1458.79,985.86,50.0,0,,,,
106,53.0,1,1488.73,846.56,50.0,0,,,,
106,53.0,2,1524.62,718.15,50.0,0,,,,
107,53.5,0,1458.79,985.86,57.142857142857146,0,,,,
107,53.5,1,1488.73,846.56,57.142857142857146,0,,,,
107,53.5,2,1524.62,718.15,57.142857142857146,0,,,,
108,54.0,0,1458.79,985.86,64.28571428571429,0,,,,
108,54.0,1,1488.73,846.56,64.28571428571429,0,,,,
108,54.0,2,1524.62,718.15,64.28571428571429,0,,,,
109,54.5,0,1458.79,985.86,71.42857142857143,0,,,,
109,54.5,1,1488.73,846.56,71.42857142857143,0,,,,
109,54.5,2,1524.62,718.15,71.42857142857143,0,,,,
110,55.0,0,1458.79,985.86,78.57142857142857,0,,,,
110,55.0,1,1488.73,846.56,78.57142857142857,0,,,,
110,55.0,2,1524.62,718.15,78.57142857142857,0,,,,
111,55.5,0,1458.79,985.86,85.71428571428571,0,,,,
111,55.5,1,1488.73,846.56,85.71428571428571,0,,,,
111,55.5,2,1524.62,718.15,85.71428571428571,0,,,,
112,56.0,0,1458.79,985.86,92.85714285714286,0,,,,
112,56.0,1,1488.73,846.56,92.85714285714286,0,,,,
112,56.0,2,1524.62,718.15,92.85714285714286,0,,,,
112,56.0,2,1524.62,718.15,92.85714285714286,0,Pepoli_11_5,1539.94212054015,686.2421823609602,15.412467142709481
113,56.5,0,1458.79,985.86,100.0,0,,,,
113,56.5,1,1488.73,846.56,100.0,0,,,,
113,56.5,2,1524.62,718.15,100.0,0,,,,
113,56.5,2,1524.62,718.15,100.0,0,Pepoli_11_5,1537.9538800273783,693.7071635915719,15.450693229297592
114,57.0,0,1458.79,985.86,100.0,5.0,,,,
114,57.0,1,1488.73,846.56,100.0,5.0,,,,
114,57.0,2,1524.62,718.15,100.0,5.0,,,,
114,57.0,2,1524.62,718.15,100.0,5.0,Pepoli_11_5,1536.0112621430549,701.0008516296006,15.09615803502076
115,57.5,0,1458.79,985.86,100.0,10.0,,,,
115,57.5,1,1488.73,846.56,100.0,10.0,,,,
115,57.5,2,1524.62,718.15,100.0,10.0,,,,
115,57.5,2,1524.62,718.15,100.0,10.0,Pepoli_11_5,1534.0381519984373,708.4090248867518,15.333114558461073
116,58.0,0,1458.79,985.86,100.0,15.0,,,,
116,58.0,1,1488.73,846.56,100.0,15.0,,,,
116,58.0,2,1524.62,718.15,100.0,15.0,,,,
116,58.0,2,1524.62,718.15,100.0,15.0,Pepoli_11_5,1532.0965642237113,715.6988453097908,15.088153013857498
117,58.5,0,1458.79,985.86,100.0,20.0,,,,
117,58.5,1,1488.73,846.56,100.0,20.0,,,,
117,58.5,2,1524.62,718.15,100.0,20.0,,,,
117,58.5,2,1524.62,718.15,100.0,20.0,Pepoli_10_4,1549.453740476247,662.9597732811637,11.915058845697208
117,58.5,2,1524.62,718.15,100.0,20.0,Pepoli_11_5,1530.0745311045255,723.2907031285197,15.713296868934247
118,59.0,0,1458.79,985.86,100.0,25.0,,,,
118,59.0,1,1488.73,846.56,100.0,25.0,,,,
118,59.0,2,1524.62,718.15,100.0,25.0,,,,
118,59.0,2,1524.62,718.15,100.0,25.0,Pepoli_10_4,1547.9305008461674,668.6795655308097,11.843324694965272
